PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,FULL_ADDRESS,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT
RQ075,MUNICIPALITY OF CANOVANAS,"nan, Canovanas, PR, 00729",(787) 876-8334,(787) 256-4305,seccion8@canovanasgov.com,(787) 876-2328,(787) 256-7269,seccion8@canovanasgov.com,,,38,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,33,33,86.84999847,0,38,37,100.0,0,0,0
RQ070,MUNICIPALITY OF CEIBA,"PO Box 224, Ceiba, PR, 00735",(787) 885-4140,,federalesceiba@gmail.com,(787) 885-2180,(787) 885-5137,oficinadelalcalde@ceiba-pr.com,,,44,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,32,32,72.73000336,0,44,35,100.0,0,0,0
RQ018,Municipality of Cayey,"nan, Cayey, PR, 00737",(787) 263-0410,,nvazquez@gmail.com,(787) 263-0410,,nvazquezcayey@gmail.com,,,243,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,181,181,74.48999786,0,243,189,100.0,0,0,0
RQ058,MUNICIPALITY OF SANTA ISABEL,"36 Calle Luis Munoz Rivera, Santa Isabel, PR, 00757",(787) 558-2014,(787) 845-4040,programasfederalesmsi@gmail.com,(787) 558-2014,,profedsantaisabel@gmail.com,,,73,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,51,51,69.87000275,0,73,31,60.77999878,0,0,0
RQ027,MUNICIPALITY OF LOIZA,"58 Calle Espiritu Santo, Loiza, PR, 00772",(787) 876-1040,(787) 876-3405,ldpizarro@municipiodeloiza.net,(787) 876-3325,(787) 876-3405,azcanales@municipiodeloiza.net,,,8,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,7,7,87.5,0,8,4,-4.0,0,0,0
RQ050,MUNICIPALITY OF RIO GRANDE,"37 Calle Pimentel, Rio Grande, PR, 00745",(787) 887-2084,(787) 809-1275,csantiago@riograndepr.org,(787) 887-7797,(787) 888-1515,csantiago@riograndepr.net,,,82,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,53,53,64.62999725,0,82,52,98.12000275,0,0,0
RQ069,MUNICIPALITY OF SALINAS,"PO Box 1149, Salinas, PR, 00751",(787) 824-5310,(787) 824-4549,hud_069@yahoo.com,(787) 824-3830,(787) 824-7212,hud_069@yahoo.com,,,100,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,68,68,68.0,0,100,78,100.0,0,0,0
RQ037,Municipality of San Lorenzo,"nan, San Lorenzo, PR, 00754",(787) 736-3511,,cburgos@sanlorenzo.gov.pr,(787) 736-7373,(787) 736-2818,alcalde@sanlorenzo.gov.pr,,,111,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,102,102,91.88999939,0,111,106,100.0,0,0,0
RQ057,MUNICIPALITY OF PATILLAS,"nan, Patillas, PR, 00723",(787) 839-4120,,coordseccion8pat@gmail.com,(787) 839-4120,,elizabeth.velez@municipiodepatillas.com,,,86,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,54,54,62.79000092,0,86,56,100.0,0,0,0
MA137,Maynard Housing Authority,"15 Powder Mill Cir, Maynard, MA, 01754",(978) 897-8738,(978) 897-3583,V.Morris@Maynard-Housing.com,(978) 897-8738,(978) 897-3583,V.Morris@Maynard-Housing.com,Substandard Financial,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),12/31,Low-Rent,32,32,32,31,0,31,96.87000275,1,32,31,100.0,134136,238926,107739
MA069,Milford Housing Authority,"45 Birmingham Ct, Milford, MA, 01757",(508) 473-9521,(508) 473-4218,lbraza@milfordhousing.org,(508) 473-9521,(508) 473-4218,lbraza@milfordhousing.org,Standard Performer,SMALL (50-99),567,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),3/31,Combined,65,65,65,65,490,555,88.66000366,0,626,550,99.09999847,127263,219701,173681
RQ073,MUNICIPALITY OF AGUADA,"226 Calle Colon, Aguada, PR, 00602",(787) 868-4735,(787) 868-4766,seccion8@aguada.gov.pr,(787) 868-2112,(787) 868-4600,oficinadelalcalde@aguada.gov.pr,,,125,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,123,123,98.40000153,0,125,125,100.0,0,0,0
RQ012,MUNICIPALITY OF AGUADILLA,"nan, Aguadilla, PR, 00605",(787) 891-1005,(787) 891-2505,rq0012@gmail.com,(787) 891-1005,,rq0012@gmail.com,,,308,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,176,176,57.13999939,0,308,186,100.0,0,0,0
RQ029,MUNICIPALITY OF MARICAO,"nan, Maricao, PR, 00606",(787) 838-2280,(787) 838-2515,mmaricao@hotmail.com,(787) 838-2290,,alcaldiamaricao.pr@gmail.com,,,38,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,30,30,78.94000244,0,38,22,73.33999634,0,0,0
RQ043,Anasco Housing Authority,"nan, A Sco, PR, 00610",(787) 826-3100,(787) 826-7000,jramos@anasco.gobierno.pr,(787) 826-3100,,jrosario@anasco.gobierno.pr,,,113,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,93,93,82.30999756,0,113,97,100.0,0,0,0
RQ020,MUNICIPALITY OF ARECIBO,"158 Calle Mariano Vidal, Arecibo, PR, 00612",(787) 699-8550,(787) 879-4084,vivienda@arecibo.pr.gov,(787) 882-2270,(787) 699-8550,vivienda@arecibo.pr.gov,,,933,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,701,701,75.12999725,0,933,751,100.0,0,0,0
RQ054,MUNICIPALITY  OF  BARCELONETA,"47 Calle Georgetti, Barceloneta, PR, 00617",(787) 846-5092,(787) 846-3403,vmorales@barceloneta.gobierno.pr,(787) 846-3400,(787) 846-3403,gvillamil@barceloneta.pr.gov,,,128,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,105,105,82.02999878,0,128,104,99.05000305,0,0,0
RQ061,MUNICIPALITY OF CABO ROJO,"28 Calle Betances, Cabo Rojo, PR, 00623",(787) 851-1025,,gnegron@caborojopr.net,(787) 851-1025,,gnegron@caborojopr.net,,,111,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,99,99,89.19999695,0,111,105,100.0,0,0,0
RQ019,MUNICIPALITY OF PENUELAS,"313 Calle Munoz Rivera, Penuelas, PR, 00624",(787) 836-3030,(787) 836-1663,seccionocho@penuelaspr.gov,(787) 836-1136,(787) 836-2191,alcaldepenuelas.joseangonzalez@gmail.com,,,243,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,133,133,54.72999954,0,243,126,94.73000336,0,0,0
RQ052,MUNICIPALITY OF CIALES,"nan, Ciales, PR, 00638",(787) 871-3500,(787) 871-1847,sec8ciales@yahoo.com,(787) 266-3351,,programasfederales25@gmail.com,,,77,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,50,50,64.94000244,0,77,40,80.0,0,0,0
RQ033,Municipality of Utuado,"3 Calle Progreso, Utuado, PR, 00641",(787) 814-0868,,utuadoha@yahoo.com,(787) 894-1040,(787) 894-0920,alcaldeutuado2021@gmail.com,,,201,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,190,190,94.52999878,0,201,174,91.58000183,0,0,0
RQ072,MUNICIPALITY OF FLORIDA,"nan, Florida, PR, 00650",(787) 822-3773,,gmfs8@yahoo.com,(787) 822-2600,(787) 822-1524,gmfs8@yahoo.com,,,48,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,48,48,100.0,0,48,52,100.0,0,0,0
RQ044,MUNICIPALITY OF GUANICA,"nan, Guanica, PR, 00653",(787) 821-2777,,profedguanica@yahoo.com,(787) 821-2777,,profedguanica@yahoo.com,,,57,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,35,35,61.40999985,0,57,38,100.0,0,0,0
RQ021,MUNICIPALITY OF GUAYANILLA,"nan, Guayanilla, PR, 00656",(787) 835-2660,,seccion8@guayanillapr.net,(787) 835-2660,,oficinadelalcalde@guayanillapr.net,,,149,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,88,88,59.06000137,0,149,84,95.45999908,0,0,0
RQ039,MUNICIPALITY OF HATILLO,"nan, Hatillo, PR, 00659",(787) 898-3840,(787) 898-2295,sec8hatillo@hotmail.com,(787) 898-2037,,sec8hatillo@hotmail.com,,,77,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,63,63,81.81999969,0,77,62,98.41999817,0,0,0
RQ035,MUNICIPALITY OF HORMIGUEROS,"nan, Hormigueros, PR, 00660",(787) 849-4071,(787) 849-1251,seccion8@hormiguerospr.com,(787) 849-1525,(787) 849-5566,pjgarcia@hormiguerospr.com,,,106,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,94,94,88.68000031,0,106,95,100.0,0,0,0
RQ066,MUNICIPALITY OF ISABELA,"75 Calle Corchado, Isabela, PR, 00662",(787) 872-2100,(787) 872-3400,isabelasec8@yahoo.com,(787) 872-2100,(787) 872-6300,isabelasec8@yahoo.com,,,90,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,68,68,75.55000305,0,90,76,100.0,0,0,0
RQ036,MUNICIPALITY OF FAJARDO,"12 Calle Dr Lopez W, Fajardo, PR, 00738",(787) 863-4115,,jmoreira@fajardopr.org,(787) 863-4115,,jmoreira@fajardopr.org,,,122,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,65,65,53.27999878,0,122,61,93.83999634,0,0,0
RQ062,MUNICIPALITY OF CIDRA,"nan, Cidra, PR, 00739",(787) 434-1400,,cidraseccion8@hotmail.com,(787) 434-1400,,alcalde@cidra.gov.pr,,,193,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,187,187,96.90000153,0,193,182,97.31999969,0,0,0
RQ046,MUNICIPALITY OF LAS MARIAS,"nan, Las Marias, PR, 00670",(787) 827-2280,(787) 827-2021,aponte.luis47@gmail.com,(787) 827-2385,(787) 827-3565,aponte.luis47@gmail.com,,,43,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,39,39,90.69000244,0,43,49,100.0,0,0,0
MA057,Acton Housing Authority,"68 Windsor Ave, Acton, MA, 01720",(978) 263-5339,(978) 266-1408,melissa@actonhousing.net,(978) 263-5339,(978) 266-1408,melissa@actonhousing.net,,,159,MEDIUM LOW (100-299),MEDIUM LOW (100-299),12/31,Section 8,0,0,0,0,157,157,98.75,0,159,158,100.0,0,0,0
MA098,Concord Housing Authority,"34 Everett St, Concord, MA, 01742",(978) 369-8435,(978) 369-4269,jpolito@concordha.org,(978) 369-8435,,jpolito@concordha.org,High Performer,VERY SMALL (0-49),107,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Combined,0,0,0,0,104,104,97.19999695,0,107,107,100.0,0,0,0
MA107,North Andover Housing Authority,"1 Morkeski Mdws, North Andover, MA, 01845",(978) 682-3932,(978) 794-1142,mcleary@northandoverha.com,(978) 682-3932,(978) 794-1142,mcleary@northandoverha.com,High Performer,MEDIUM LOW (100-299),137,MEDIUM LOW (100-299),MEDIUM LOW (100-299),9/30,Combined,105,105,105,97,137,234,96.69000244,8,242,232,99.13999939,179109,429365,0
MA882,"Community TeamWork, Inc.","155 Merrimack St, Lowell, MA, 01852",(978) 654-5715,(978) 453-9128,EHealey@COMTEAM.ORG,(978) 654-5766,(978) 654-5697,kfrederick@commteam.org,,,82,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,71,71,86.58999634,0,82,62,87.31999969,0,0,0
MA001,Lowell Housing Authority,"350 Moody St, Lowell, MA, 01854",(978) 937-3500,(978) 937-5758,tchhan@lhma.org,(978) 364-5353,,tchhan@lhma.org,High Performer,"LARGE (1,000-4,999)",1405,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",9/30,Combined,1613,1613,1613,1539,1175,2714,89.93000031,33,3018,2816,100.0,3751718,8804500,6429897
RQ015,MUNICIPIO DE DORADO,"nan, Dorado, PR, ",(787) 796-1230,(787) 278-1236,mabel.molina@dorado2025.com,(787) 796-1230,(787) 796-3660,mabel.molina@dorado2025.com,,,280,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,233,233,83.20999908,0,280,223,95.70999908,0,0,0
RQ083,MUNICIPALITY OF YAUCO,"nan, Yauco, PR, 00698",(787) 856-1340,,seccion8yauco@yahoo.com,(787) 856-1340,,seccion8yauco@yahoo.com,,,98,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,86,86,87.75,0,98,72,83.72000122,0,0,0
MA075,Reading Housing Authority,"22 Frank Tanner Dr, Reading, MA, 01867",(781) 944-6755,(781) 944-6875,julie@readinghousing.org,(781) 944-6755,,kgallant@readinghousing.org,,,128,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,126,126,98.43000031,0,128,126,100.0,0,0,0
MA139,Tewksbury Housing Authority,"nan, Tewksbury, MA, 01876",(978) 851-7392,(978) 640-7986,mmaniscalco@tewksburyhousing.com,(978) 851-7932,(978) 640-7986,mmaniscalco@tewksburyhousing.com,High Performer,SMALL (50-99),113,MEDIUM LOW (100-299),MEDIUM LOW (100-299),12/31,Combined,50,50,50,48,109,157,96.31999969,2,163,153,97.44999695,50034,108411,127469
MA074,Wakefield Housing Authority,"26 Crescent St, Wakefield, MA, 01880",(781) 245-7328,(781) 245-5136,mhickey@wakefieldhousing.org,(781) 245-7328,,mhickey@wakefieldhousing.org,High Performer,VERY SMALL (0-49),378,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Combined,40,40,40,39,350,389,93.05999756,1,418,399,100.0,81526,173859,0
MA061,Wilmington Housing Authority,"41 Deming Way, Wilmington, MA, 01887",(978) 658-8531,(978) 657-4003,mcleary@northandoverha.com,(978) 658-8531,,mcleary@northandoverha.com,,,11,VERY SMALL (0-49),VERY SMALL (0-49),9/30,Section 8,0,0,0,0,10,10,90.91000366,0,11,11,100.0,0,0,0
MA125,Winchester Housing Authority,"13 Westley St, Winchester, MA, 01890",(781) 721-5718,(781) 721-5737,whaexecdir@winchesterha.org,(781) 721-5718,(781) 721-5737,sdcashell@winchesterha.org,,,147,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,137,137,93.19999695,0,147,136,99.26999664,0,0,0
MA165,Holliston Housing Authority,"492 Washington St, Holliston, MA, 01746",(508) 429-6266,(508) 429-2507,Holliston.ha@verizon.net,(508) 879-7562,(508) 626-0252,planders@framha.org,,,52,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,46,46,88.45999908,0,52,45,97.83000183,0,0,0
MA091,Hudson Housing Authority,"8 Brigham Cir, Hudson, MA, 01749",(978) 562-9268,(978) 562-4623,jaclynp@hudsonhousing.org,(978) 562-9268,(978) 562-4623,jaclynp@hudsonhousing.org,High Performer,SMALL (50-99),72,SMALL (50-99),MEDIUM LOW (100-299),9/30,Combined,92,92,92,88,70,158,96.33999634,4,164,165,100.0,130698,314219,244923
MA070,Marlborough C.D.A. - Housing Division,"250 Main St, Marlborough, MA, 01752",(508) 624-6908,(508) 460-3749,ccarter@marlborough-ma.gov,(508) 624-6908,,ccarter@marlborough-ma.gov,,,138,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,131,131,94.93000031,0,138,135,100.0,0,0,0
MA092,Natick Housing Authority,"4 Cottage St, Natick, MA, 01760",(508) 653-2971,(508) 650-9982,rwaters@natickha.org,(508) 653-2971,,rwaters@natickha.org,,,105,MEDIUM LOW (100-299),MEDIUM LOW (100-299),12/31,Section 8,0,0,0,0,98,98,93.33000183,0,105,95,96.94000244,0,0,0
MA101,Wayland Housing Authority,"106 Main St, Wayland, MA, 01778",(508) 655-6310,(508) 655-8566,bboggia@waylandhousing.com,(508) 655-6310,(508) 655-8566,bboggia@waylandhousing.com,High Performer,MEDIUM LOW (100-299),81,SMALL (50-99),MEDIUM LOW (100-299),12/31,Combined,136,136,136,136,82,218,100.0,0,217,217,99.54000092,241903,513319,352001
MA019,Woburn Housing Authority,"59 Campbell St, Woburn, MA, 01801",(781) 935-0818,(781) 937-0965,tmaher@woburnhousing.org,(781) 935-0818,,dkeating@woburnhousing.org,High Performer,MEDIUM LOW (100-299),292,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),6/30,Combined,100,100,100,99,284,383,97.69999695,1,392,383,100.0,155853,302202,310570
MA112,Burlington Housing Authority,"15 Birchcrest St, Burlington, MA, 01803",(781) 272-7786,(781) 229-2378,PKinnon@burlingtonhama.org,(781) 272-7786,,pkinnon@burlingtonhama.org,,,96,SMALL (50-99),SMALL (50-99),12/31,Section 8,0,0,0,0,94,94,97.91999817,0,96,93,98.93000031,0,0,0
MA084,Andover Housing Authority,"100 Morton St, Andover, MA, 01810",(978) 475-2365,(978) 475-0313,emily@andoverhousing.org,(978) 475-2365,,emily@andoverhousing.org,,,131,MEDIUM LOW (100-299),MEDIUM LOW (100-299),12/31,Section 8,0,0,0,0,122,122,93.12999725,0,131,120,98.36000061,0,0,0
RQ040,MUNICIPALITY OF CAMUY,"nan, Camuy, PR, 00627",(787) 898-1988,(787) 262-8554,programasfederales@camuycity.pr.gov,(787) 898-8050,,camuycitymayor@gmail.com,,,159,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,117,117,73.58000183,0,159,126,100.0,0,0,0
RQ048,MUNICIPALITY OF SABANA GRANDE,"1 Calle Dr Felix Tio, Sabana Grande, PR, 00637",(787) 951-2607,,ccruz@munsabgde.com,(787) 951-2607,,ccruz@munsabgde.com,,,156,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,114,114,73.08000183,0,156,110,96.48999786,0,0,0
MA043,Dracut Housing Authority,"971 Mammoth Rd, Dracut, MA, 01826",(978) 957-3515,(978) 957-3399,drahouse@aol.com,(978) 957-3515,(978) 957-3399,drahouse@aol.com,Standard Performer,VERY SMALL (0-49),71,SMALL (50-99),MEDIUM LOW (100-299),9/30,Combined,44,44,44,42,66,108,93.91000366,2,115,111,100.0,75283,150046,86018
MA087,Haverhill Housing Authority,"25 Washington Sq Ste C, Haverhill, MA, 01830",(978) 372-6761,(978) 373-1107,clara@haverhillhousing.com,(978) 372-6761,,clara@haverhillhousing.com,,,467,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),3/31,Section 8,0,0,0,0,405,405,86.73000336,0,467,403,99.5,0,0,0
MA132,Groveland Housing Authority,"10 River Pines Dr, Groveland, MA, 01834",(978) 374-0370,(978) 374-7621,clara@haverhillhousing.com,(978) 372-6761,,clara@haverhillhousing.com,High Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),6/30,Low-Rent,58,58,58,58,0,58,100.0,0,58,58,100.0,83989,168381,147812
MA010,Lawrence Housing Authority,"353 Elm St, Lawrence, MA, 01841",(978) 685-3811,(978) 685-6599,lhamail@lawrencehousing.org,(978) 685-3811,,lhamail@lawrencehousing.org,High Performer,"LARGE (1,000-4,999)",1031,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",3/31,Combined,1056,1051,1056,1050,947,1997,95.91999817,1,2082,2001,100.0,2590599,5048827,3865337
RQ071,MUNICIPALITY OF LAJAS,"nan, Lajas, PR, 00667",(787) 899-8181,(787) 899-8191,programasfederaleslajas@yahoo.com,(787) 899-8191,,programasfederaleslajas@gmail.com,,,73,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,58,58,79.44999695,0,73,68,100.0,0,0,0
RQ065,MUNICIPALITY OF LARES,"nan, Lares, PR, 00669",(787) 897-2300,(787) 897-5865,federaleslares@gmail.com,(787) 897-2300,(787) 897-7510,fabianalcaldelares@gmail.com,,,76,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,53,53,69.73999786,0,76,55,100.0,0,0,0
RQ067,MUNICIPALITY OF RINCON,"nan, Rincon, PR, 00677",(787) 823-2180,(787) 823-1100,clopezalcalde@rincon.gov.pr,(787) 823-2180,(787) 823-3240,clopezalcalde@rincon.gov.pr,,,37,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,21,21,56.75999832,0,37,21,100.0,0,0,0
